latitude,longitude,area_in_meters,confidence,geometry,full_plus_code,tile_id
-11.93402605,-75.26040269,49.6055,0.7371,"POLYGON((-75.2603590057948 -11.9340391528244, -75.2603917344165 -11.9339823978567, -75.2604463689047 -11.9340129468539, -75.2604136402898 -11.9340697018271, -75.2603590057948 -11.9340391528244))",57W63P8Q+9RQR,911
-11.90424366,-75.26596242,14.0904,0.7578,"POLYGON((-75.2659443985674 -11.904261743182, -75.2659541224452 -11.904219664395, -75.2659804373919 -11.9042255620795, -75.2659707135181 -11.9042676408672, -75.2659443985674 -11.904261743182))",57W63PWM+8J36,911
-11.93823304,-75.26158993,28.9454,0.7028,"POLYGON((-75.2615590208178 -11.9382489085803, -75.2615731597501 -11.9382029512664, -75.2616208486934 -11.9382171769197, -75.2616067097684 -11.9382631342357, -75.2615590208178 -11.9382489085803))",57W63P6Q+P93J,911
-11.93942544,-75.26003585,74.1027,0.6943,"POLYGON((-75.2599753046006 -11.9394360397969, -75.2599925504541 -11.9393824341218, -75.2600964031476 -11.9394148292857, -75.2600791573118 -11.9394684349694, -75.2599753046006 -11.9394360397969))",57W63P6Q+6XGX,911
-11.92080692,-75.24946795,95.2746,0.8507,"POLYGON((-75.2494119315341 -11.9208356811481, -75.2494216954795 -11.9207537145809, -75.2494821057501 -11.920760692858, -75.2494780161118 -11.9207950247019, -75.2495371516876 -11.9208018557199, -75.2495314774081 -11.9208494904459, -75.2494119315341 -11.9208356811481))",57W63QH2+M6FJ,911
-11.90327714,-75.26530734,34.5006,0.7749,"POLYGON((-75.2652597475113 -11.9032662581497, -75.2652762102168 -11.9032400638488, -75.2653549220416 -11.9032880416393, -75.2653384593417 -11.903314235944, -75.2652597475113 -11.9032662581497))",57W63PWM+MVPR,911
-11.89625997,-75.2698262,44.2606,0.733,"POLYGON((-75.2697823813555 -11.8962617818156, -75.2698129899295 -11.8962187738076, -75.2698700287369 -11.8962581462908, -75.2698394201676 -11.8963011543045, -75.2697823813555 -11.8962617818156))",57W64P3J+F3VP,911
-11.93646048,-75.26193859,25.8829,0.6885,"POLYGON((-75.2619169426116 -11.9364852106216, -75.2619170647902 -11.9364356381762, -75.2619602257801 -11.9364357413171, -75.2619601036094 -11.9364853137625, -75.2619169426116 -11.9364852106216))",57W63P7Q+C67H,911
-11.93734853,-75.25873558,105.3994,0.7003,"POLYGON((-75.2586463199804 -11.9373478956583, -75.2586617022806 -11.9372991979558, -75.2588248377287 -11.937349161849, -75.2588094554554 -11.9373978595595, -75.2586463199804 -11.9373478956583))",57W63P7R+3G63,911
-11.93626918,-75.26003249,169.0504,0.8427,"POLYGON((-75.2599679034317 -11.9362577778622, -75.2600059923685 -11.9362713823662, -75.2600264073396 -11.936215962671, -75.2600488266704 -11.9362239703449, -75.2600747295498 -11.9361536527967, -75.2601124963699 -11.9361671422373, -75.2600423446102 -11.9363575804973, -75.2599440694826 -11.9363224788643, -75.2599679034317 -11.9362577778622))",57W63P7Q+FXW9,911
-11.93804562,-75.25828166,47.741,0.6641,"POLYGON((-75.2582264287419 -11.9380494463805, -75.2582373207199 -11.9380129650403, -75.2583368941531 -11.9380417902486, -75.2583260021875 -11.9380782715923, -75.2582264287419 -11.9380494463805))",57W63P6R+QMP5,911
-11.90823051,-75.25956144,16.3574,0.7776,"POLYGON((-75.2595331706873 -11.9082310914555, -75.2595754303452 -11.9082063118001, -75.2595897112846 -11.9082299316627, -75.2595474516243 -11.9082547113201, -75.2595331706873 -11.9082310914555))",57W63PRR+P54J,911
-11.93593934,-75.2598651,52.6792,0.8878,"POLYGON((-75.2598247390419 -11.935969379083, -75.2598590753031 -11.9358898670395, -75.2599054567769 -11.9359092877291, -75.259871120527 -11.935988799778, -75.2598247390419 -11.935969379083))",57W63P7R+J3CF,911
-11.93705722,-75.25875233,17.1473,0.704,"POLYGON((-75.2587288062901 -11.937070191662, -75.2587360006166 -11.9370360892392, -75.2587758466302 -11.9370442397742, -75.2587686523085 -11.9370783421979, -75.2587288062901 -11.937070191662))",57W63P7R+5FHQ,911
-11.9236954,-75.24827829,47.0775,0.818,"POLYGON((-75.2482270024116 -11.9236958740863, -75.2483117677671 -11.9236571519338, -75.248329564908 -11.9236949307896, -75.2482447995416 -11.9237336529455, -75.2482270024116 -11.9236958740863))",57W63QG2+GMH2,911
